User ID,Gender,Age,EstimatedSalary,Futures,Sentiment,Returns
15624510,Male,19,19000,-1.456902333,1,1.32336912
15810944,Male,35,20000,-1.199012369,1,0.129325852
15668575,Female,26,43000,-1.221234943,1,-0.420349569
15603246,Female,27,57000,-0.721154461,1,-0.522535866
15804002,Male,19,76000,-0.608923577,1,-1.030991032
15728773,Male,27,58000,1.251030879,1,1.528636193
15598044,Female,27,84000,1.987298433,0,1.2488839
15694829,Female,32,150000,1.924024464,0,1.638689112
15600575,Male,25,33000,0.898588397,1,0.138444783
15727311,Female,19,65000,-0.121314736,1,1.116334943
15570769,Female,26,80000,1.990507597,1,2.316736633
15606274,Female,26,52000,1.903450998,1,4.590790491
15746139,Male,20,86000,-1.429002743,1,0.051011989
15704987,Male,32,18000,0.078158195,1,-0.130696177
15628972,Male,18,82000,-0.470174778,1,-0.34110704
15697686,Male,29,80000,0.996991677,1,0.339845801
15733883,Male,47,25000,-0.3732888,1,0.425893119
15617482,Male,45,26000,-1.757125174,1,-0.893792103
15704583,Male,46,28000,-0.45167628,1,-0.003460279
15621083,Female,48,29000,-1.097467591,1,1.830240484
15649487,Male,45,22000,-2.170803697,1,-2.877742787
15736760,Female,47,49000,-1.56712805,0,0.063626695
15714658,Male,48,41000,-0.511158593,1,1.0752046
15599081,Female,45,22000,1.018134839,1,0.460155798
15705113,Male,46,23000,0.169015946,1,2.235178043
15631159,Male,47,20000,0.108416601,1,2.038553039
15792818,Male,49,28000,-4.397977172,0,-7.09514864
15633531,Female,47,30000,1.086447173,1,0.319377886
15744529,Male,29,43000,1.205702915,1,2.30484232
15669656,Male,31,18000,-2.837118909,1,-0.730571438
15581198,Male,31,74000,2.519317572,1,3.740930036
15729054,Female,27,137000,-1.092409743,0,-1.122657728
15573452,Female,21,16000,-1.317137752,1,-0.47207719
15776733,Female,28,44000,1.032147504,1,2.510595176
15724858,Male,27,90000,1.45884969,0,0.299377125
15713144,Male,19,27000,-1.704249731,1,-3.190206475
15690188,Female,33,28000,-3.488438956,1,-2.383011452
15689425,Male,30,49000,-3.192079333,1,-2.74260412
15671766,Female,26,72000,-2.03650833,0,-2.220389806
15782806,Female,27,31000,-0.02987675,1,1.174477629
15764419,Female,27,17000,1.910224768,1,1.220603963
15591915,Female,33,51000,0.339083869,1,1.319518907
